Game,Category,Description,CPU,GPU,RAM,File Size
Sniper Elite 4,Action / Adventure / Violent,"Discover unrivalled sniping freedom in the largest and most advanced World War 2 shooter ever built. Experience tactical third-person combat, gameplay choice and epic longshots across gigantic levels as you liberate wartime Italy from the grip of Fascism.",Intel Core i3-2100,NVIDIA GeForce GTX 660,4 GB,40 GB
Fear & Hunger,RPG / Indie / Adventure,Fear & Hunger is a horror dungeon crawler set in the dark and hopeless dungeons of fear and hunger. The game is a hybrid of survival horror and dungeon crawler genres with its influences ranging from Silent Hill to Nethack. There are roguelike elements to the game as well as a heavy foundation of a j-RPG.,Intel Core 2 Duo Q6867,AMD Radeon HD 6250,2 GB,1 GB
The Witcher 2: Assassins of Kings Enhanced Edition,RPG / FPS,A time of untold chaos has come. Mighty forces clash behind the scenes in a struggle for power and influence. The Northern Kingdoms mobilize for war. But armies on the march are not enough to stop a bloody conspiracy...,Intel Core 2 Duo Q6867,ATI Radeon HD 3850,4 GB,25 GB
Pacify,Action / Strategy / Casual,"There is reportedly an evil inside that house. Something about an old funeral parlor offering a last chance to talk to their dead loved ones. Plus something about lights, laughter, a girl, missing people, etc... You know the same stuff everyone claims. Take a team, and check the place out.",Intel Core i5-12400T,ATI FireGL V7350,4 GB,5 GB
Call of Duty Modern Warfare Remastered,Action / Violent / FPS,"One of the most critically-acclaimed games in history, Call of Duty: Modern Warfare is back, remastered in true high-definition, featuring improved textures, physically based rendering, high-dynamic range lighting and much more.",Intel Core i3-3225,AMD Radeon HD 7850,8 GB,39 GB
WWE 2K19,Sports / Simulation / Fighting,"NOTE: All multiplayer servers for WWE 2K19 will be shutdown as of 6/30/2022. After that time, all game functions requiring online servers will no longer function.",Intel Core i5-3550,AMD Radeon HD 7850,4 GB,50 GB
Riders Republic,Unknown,"Jump into the Riders Republic massive multiplayer playground! Grab your skis, snowboard, bike, or wingsuit and explore an open world sports paradise where the rules are yours to make—or break.",Intel Core i5-4460,NVIDIA GeForce GTX 970,8 GB,20 GB
VRChat,Casual / Sports / Adventure,"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat.",AMD FX-8350,NVIDIA GeForce GTX 970,4 GB,1 GB
Victoria 3,Strategy / Simulation,"Paradox Development Studio invites you to build your ideal society in the tumult of the exciting and transformative 19th century. Balance the competing interests in your society and earn your place in the sun in Victoria 3, one of the most anticipated games in Paradox’s history.",Intel Core i3-3250,AMD Radeon R7 370,8 GB,10 GB
Sky: Children of the Light,RPG / Casual / Indie,"Sky: Children of the Light is a peaceful, award-winning MMO from the creators of Journey. Explore a beautifully-animated kingdom across seven realms and create enriching memories with other players in this delightful puzzle-adventure game.",Intel Core i5-6400,AMD Radeon RX 560,8 GB,3 GB
SnowRunner,Adventure / Simulation,Get ready for the next-generation off-road experience! Drive powerful vehicles and overcome extreme open environments to complete dozens of challenging missions solo or with up to 3 friends!,Intel Core i3-4130,AMD Radeon R9 270,8 GB,50 GB
EA SPORTS™ Madden NFL 25,Strategy / Sports / Simulation,Hit like you mean it with FieldSENSE™ powered by BOOM Tech. Experience how the new physics-informed dynamic tackling system unlocks realistic collisions & new gameplay animations on both sides of the ball.,Intel Core i7-6700K,Unknown,10 GB,65 GB
Medieval Dynasty,Action / RPG / Indie,"Hunt, survive, build and lead in the harsh Middle Ages: Create your own Medieval Dynasty and ensure its long-lasting prosperity or die trying! Play alone or team up with friends to enjoy the ultimate medieval experience.",Intel Core 2 Quad Q9705,AMD Radeon RX 480,8 GB,10 GB
DEATH STRANDING: Director's Cut,Action / Adventure,"From legendary game creator Hideo Kojima comes a genre-defying experience, now expanded in this definitive DIRECTOR’S CUT. As Sam Bridges, your mission is to deliver hope to humanity by connecting the last survivors of a decimated America. Can you reunite the shattered world, one step at a time?",Intel Core i5-3470,AMD Radeon RX 560,8 GB,80 GB
Portal 2,Action / Adventure / FPS,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!",Intel Core 2 Duo E8400,Intel HD 2000,2 GB,8 GB
Car Mechanic Simulator 2021,Racing / Indie / Simulation,Work your way to a service empire. Get your hands dirty in a highly realistic simulation game that pays major attention to details. Pay a visit to a new Auction house and buy cars in various conditions. Expand your range of services by investing in a new work space and equipment.,Intel Core i5-4690,NVIDIA GeForce GTX 760,8 GB,35 GB
Devil May Cry 4 Special Edition,Action / FPS,"The smash-hit stylish action game DMC4 is back and better than ever, boasting new playable characters and game modes!",Intel Core 2 Duo Q6867,ATI Radeon HD 3850,2 GB,27 GB
A Game About Digging A Hole,Casual / Indie / Adventure,"A minimalist game about digging a hole in the garden of a newly purchased house. Collect resources, sell them, upgrade your equipment and discover a mysterious secret. Costs you only one coffee!",Intel Core i5-12400T,NVIDIA GeForce GTX 770,8 GB,Unknown
Streamer Life Simulator 2,Indie / Simulation / Early Access,"In the second game of the series, competition has increased and now everyone wants to be a streamer. Are you ready to stream until your cpu burns out?",Intel Core i5-4430,Unknown,8 GB,10 GB
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,Action / Adventure / FPS,The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen !,AMD Athlon 64 X2 6400+,NVIDIA GeForce 8500 GT,2 GB,40 GB
Call of Duty 4: Modern Warfare,Action / FPS,"The new action-thriller from the award-winning team at Infinity Ward, the creators of the Call of Duty® series, delivers the most intense and cinematic action experience ever. Call of Duty 4: Modern Warfare arms gamers with an arsenal of advanced and powerful modern day firepower and transports them to the most treacherous hotspots...",Intel Core 2 Duo E8400,NVIDIA GeForce 6600,512 MB,8 GB
Just Cause 4,Action / Adventure / FPS,"Rogue agent Rico Rodriguez journeys to Solis, a huge South American world home of conflict, oppression and extreme weather conditions. Strap into your wingsuit, equip your fully customizable grappling hook, and get ready to bring the thunder!",Intel Core i5-2400,AMD Radeon R9 270,8 GB,59 GB
L.A. Noire,Strategy / Adventure / FPS,"In his fight to climb the ranks and do what's right, LAPD detective Cole Phelps must unravel the truth behind a string of arson attacks, conspiracies, and brutal murders, battling the L.A. underworld and even members of his own department.",Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Car For Sale Simulator 2023,Indie / Simulation / Early Access,"Car For Sale Simulator 2023 - Developed for car enthusiasts, grow your own car sales business by buying and selling different car models. Drive the purchased cars as you wish, repair them, modify them, and sell them to customers at affordable prices.",Intel Core i5-2500,NVIDIA GeForce GTX 670,6 GB,5 GB
WWE 2K22,Sports / Simulation,"NOTE: All multiplayer servers for WWE 2K22 will be shutdown as of 12/31/2023. After that time, all game functions requiring online servers will no longer function.",Intel Core i5-3550,NVIDIA GeForce GTX 1060,8 GB,60 GB
Five Hearts Under One Roof,RPG / Adventure / Simulation,"Yuman’s, the player, once solitary home and routine are now invaded by five beautiful women! Each has her unique charm – the 'childhood friend of 20 years,' the 'first love and former idol,' the 'demanding boss,' the 'bold younger girl,' and the 'shy recluse.' Who will you choose?",Intel Core i3-2340UE,Unknown,4 GB,15 GB
Titan Quest II,Action / RPG,"Nemesis, Goddess of Retribution, is out of control. She is corrupting the Threads of Fate and punishing all those who oppose her. Take up your weapon, fight alongside gods, and change fate itself in Titan Quest II, an action RPG inspired by Greek mythology.",Intel Core i5-12400T,Unknown,16 GB,50 GB
Repo Man,Action / RPG / Casual,"In this quirky first-person RPG you are a debt collector. Track down debtors, claim their assets, strike deals, deceive, seduce, intimidate. Solve mysteries, uncover conspiracies and dabble in the occult.",Intel Core i3-550,NVIDIA GeForce GTX 1080,8 GB,40 GB
SCAN,Action / Indie / Free to Play,Outsmart and outgun your opponents in this unique multiplayer shooter.,Intel Core i5-4430,Unknown,8 GB,5 GB
Kamla - An Indian Horror Experience,Action / Casual / Indie,"Find a way out of an old mansion as a priest, you have been tasked to exorcise a woman who has been possessed. Solve puzzles and complete objectives to cure her demonic possession in this SURVIVAL HORROR experience.",Intel Core i3-2340UE,NVIDIA GeForce GT 730,4 GB,4 GB
RimWorld,Strategy / Indie / Simulation,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.",Intel Core 2 Duo E8400,Intel HD 3000,4 GB,1 GB
Elite Dangerous,Action / Strategy / RPG,Take control of your own starship in a cutthroat galaxy. Elite Dangerous is the definitive massively multiplayer space epic.,Intel Celeron J1900,NVIDIA GeForce GTX 470,6 GB,25 GB
Tom Clancy's The Division 2,Action / RPG / MMO,"The fate of the free world is on the line in Tom Clancy’s The Division 2.
Lead a team of elite agents into a post-pandemic Washington, DC, to restore order and prevent the collapse of the city.",Intel Core i5-2500K,NVIDIA GeForce GTX 670,2 GB,40 GB
Age of Wonders 4,Unknown,Rule a fantasy realm of your own design! Explore new magical realms in Age of Wonders’ signature blend of 4X strategy and turn-based tactical combat. Control a faction that grows and changes as you expand your empire with each turn!,Intel Core i7-2700K,AMD Radeon HD 7870,8 GB,20 GB
Supermarket Together,Casual / Indie / Simulation,"The multiplayer supermarket has arrived to your neighbourhood for free! Stock your shop space, unlock perks and franchises, hire employees or chase those pesky shoplifters. The more players, the more action!",Intel Core i5-12400T,NVIDIA GeForce GTX 960,4 GB,5 GB
Divinity: Original Sin 2 - Definitive Edition,Strategy / RPG / Adventure,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.",Intel Core i5-2400,NVIDIA GeForce GTX 550 Ti,4 GB,60 GB
Company of Heroes 3,Action / Strategy,"Company of Heroes 3 combines heart-pounding combat with deeper strategic choices in a stunning Mediterranean theatre of war. In Company of Heroes 3, every battle tells a story...what's yours?",Intel Core i5-650  / Ryzen 5 1400,AMD Radeon R9 370  / GeForce GTX 950,8 GB,40 GB
ASKA,Action / Strategy / RPG,Lay claim to unspoiled lands and pave the way for a fierce Viking tribe. Craft the ultimate settlement solo or together with up to x3 friends. Trust in the Gods and the power of the Eye of Odin and summon intelligent NPC villagers to provide camaraderie and relief from the toils of survival.,Intel Core i5-6600,Unknown,16 GB,6 GB
The Sims 3,Unknown,The Sims 3: Create the perfect world with full customization at your fingertips. Refine personalities and help fulfill destinies.,Intel Pentium 4 2.00GHz,AMD Radeon 9200 SE,1 GB,5 GB
Motor Town: Behind The Wheel,Casual / Racing / Indie,Enjoy realistic driving in the open world. Relaxing cargo deliveries or driving buses and taxis will give you enough money to buy new cars and parts. You can test your driving skills at the race track. It's all about pure driving pleasure!,Intel Core i5-4460,AMD Radeon RX 460,4 GB,5 GB
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,Action / Strategy / Casual,"Ready the Peashooters and prepare for the craziest, funniest shooter in the universe: Plants vs. Zombies Garden Warfare 2.",Intel Core i5-650,AMD Radeon HD 7730,4 GB,40 GB
Liar's Bar,Strategy / Casual / Indie,"Dive into this multiplayer online experience set in a sketchy bar where the games are as dangerous as the patrons. Join a table of 4 and test your skills in Liar's Dice and Liar's Deck, where lying and bluffing are key to victory. Ready for a night at Liar's Bar?",Intel Core i5-4670,Unknown,4 GB,4 GB
Horizon Zero Dawn Remastered,Action / RPG / Adventure,"Experience the critically acclaimed Horizon Zero Dawn™ with stunning new visuals and upgraded features. In a far future where colossal machines roam the Earth, pockets of humanity survive in unique tribes among the lush, overgrown ruins of our long-lost civilization.",Intel Core i3-8100  / Ryzen 3 1300X,NVIDIA GeForce GTX 1060 6GB  / Radeon RX 5500 XT,16 GB,135 GB
Assassin's Creed Brotherhood,Action / Adventure / FPS,It’s time to join the Brotherhood.,Intel Core 2 Duo Q6867,ATI FireMV 2400 PCIe,4 GB,8 GB
Sonic Frontiers,Action / Adventure,Experience Sonic like never before!,Intel Core i5-3470,Unknown,8 GB,30 GB
High On Life,Action / Adventure,"HIGH ON KNIFE DLC OUT NOW!! - Humanity is being threatened by an alien cartel who wants to use them as drugs. It’s up to you to rescue and partner with charismatic, talking guns, take down Garmantuous and his gang, and save the world!",Intel Core i5-650,NVIDIA GeForce GTX 1060,8 GB,50 GB
Six Days in Fallujah,Action / Early Access / FPS,NEW! Play solo with an AI fireteam or co-op online. Six Days in Fallujah is an intensely realistic first-person tactical shooter based on true stories from one of this century’s toughest urban battles.,AMD Ryzen 5 2600,Unknown,12 GB,22 GB
Outlast 2,Action / Indie / Adventure,"Outlast 2 introduces you to Sullivan Knoth and his followers, who left our wicked world behind to give birth to Temple Gate, a town, deep in the wilderness and hidden from civilization. Knoth and his flock are preparing for the tribulations of the end of times and you’re right in the thick of it.",Intel Core i3-530,ATI Radeon HD 4870,4 GB,30 GB
Life is Strange: Double Exposure,Action / Adventure,"When Max Caulfield finds her friend Safi dead in the snow, she tears open the way to a parallel timeline. Here, Safi is still alive - and still in danger! With her new power to Shift between two timelines – can Max solve and prevent the same murder?",Intel Core i5-2400  / FX-6300,NVIDIA GeForce GTX 960  / Radeon RX 470,12 GB,25 GB
MindsEye,Action / Adventure,"MindsEye is a narrative driven, single-player action-adventure thriller set in the near-future fictional desert city of Redrock. Featuring best-in-class cinematics, high octane driving, and explosive combat from game director, Leslie Benzies.",Intel Core i5-12400F  / Ryzen 5 5600X,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,16 GB,70 GB
Team Fortress 2,Action / Free to Play / FPS,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",Intel Pentium 4 1.70GHz,AMD Radeon X1600,512 MB,15 GB
Unturned,Action / Casual / Indie,"You're a survivor in the zombie infested ruins of society, and must work with your friends and forge alliances to remain among the living.",Intel Core 2 Duo E8400,Intel HD 3000,4 GB,4 GB
Cult of the Lamb,Action / Strategy / Indie,"Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland Followers and spread your Word to become the one true cult.",Intel Core i3-3240,AMD Radeon HD 7750,4 GB,4 GB
EVE Online,Action / Strategy / RPG,"EVE Online is a free-to-play community driven space MMO where players can choose their own path from countless different options. Experience space exploration, immense PvP and PvE battles, mining, industry and a thriving player economy in an ever-expanding sandbox.",Intel Core 2 Duo T5750,NVIDIA GeForce 8600 GTS,2 GB,20 GB
Gates of Hell,Action / Strategy / Indie,"Call to Arms - Gates of Hell is a realistic RTS/ RTT game that offers endless replay value. Command all types of troops in historical singleplayer, dynamic campaign, PvP and PvE battles. Are you ready for some serious immersion in World War 2?",Intel Core 2 Duo E8400,NVIDIA GeForce GTX 1070,16 GB,75 GB
House Flipper 2,Casual / Indie / Simulation,"Clean your worries away with this relaxing renovation simulator! Buy, fix, sell, and become a local legend. Or grab your power tools and build anything from scratch! With the online 2-4 players co-op mode, you can play both in sandbox and story mode together.",Intel Core i5-8400  / Ryzen 5 1600,NVIDIA GeForce GTX 970  / Radeon RX 580,8 GB,20 GB
Green Hell,Action / Indie / Adventure,"Plunge into the open-world survival simulation set in the extreme conditions of the uncharted Amazon jungle. Use real-life survival techniques to craft, hunt, fight, and gather resources, set a makeshift shelter, or raise a fortress. Survive alone or team up with your friends and challenge the jungle together.",Intel Core 2 Duo E8700,AMD Radeon RX 460,4 GB,8 GB
GIRLS' FRONTLINE 2: EXILIUM,Strategy / RPG / Free to Play,"Hello Commanders, Please board the Elmo and set off into the breaking dawn.",Intel Core i5-12400T,AMD Radeon HD 7790,8 GB,35 GB
resident evil 4 / biohazard 4,Action / Adventure / FPS,(Release: 2014) Special agent Leon S. Kennedy is sent on a mission to rescue the U.S. President’s daughter who has been kidnapped.,Intel Core 2 Duo E4600,ATI Radeon HD 4850,2 GB,15 GB
Aloft,Action / Casual / Indie,"Soar the skies in Aloft, the co-op sandbox survival game set in a world of floating islands. Build any island into a skyship, your home in the clouds. Find lost knowledge, cure the fungal corruption, and brave the hurricane to restore the ecosystem.",Intel Core i5-8600K,Unknown,16 GB,12 GB
DRAGON BALL FighterZ,Action / Fighting,DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its all-powerful fighters.,Intel Core i5-3470,AMD Radeon HD 6870,4 GB,6 GB
X-Plane 12,Simulation / Early Access,Ultra-Realistic Flight Simulation,Intel Core i5-12400T,Unknown,8 GB,23 GB
That's not my Neighbor,Casual / Indie / Adventure,"It's 1955, and for unknown reasons, doppelgangers are more common than usual. Therefore, the Department of Doppelganger Detection (D.D.D.) has taken action. You are the doorman of an apartment complex, and you must decide whether to let in those who claim to be your neighbors.",Intel Core i5-1300F,Unknown,2 GB,500 MB
Marvel's Guardians of the Galaxy,Action / Adventure,"Fire up a wild ride across the cosmos with a fresh take on Marvel’s Guardians of the Galaxy. In this action-adventure game, you are Star-Lord leading the unpredictable Guardians from one explosion of chaos to the next. You got this. Probably.",Intel Core i5-4460  / Ryzen 5 1400,NVIDIA GeForce GTX 1060  / Radeon RX 570,8 GB,80 GB
コイカツ！ / Koikatsu Party,Unknown,"Creating your own adorable anime character is a cinch! Use a robust suite of intuitive and precise tools to customize a character from the ground up, give her one of 30 different personality archetypes, and then get busy with a host of romantic options. Bring your dream waifu to laifu!",Intel Core i3-2340UE,NVIDIA GeForce 8500 GT,4 GB,20 GB
Hello Neighbor,Strategy / Indie / Adventure,Hello Neighbor is a Stealth Horror Game about sneaking into your neighbor's house and figuring out what he's hiding in the basement. Play against an advanced AI that learns from your actions.,Intel Core i5-12400T,NVIDIA GeForce GTX 770,6 GB,5 GB
WWE 2K23,Sports / Simulation,"WWE 2K23 is Even Stronger with expanded features, gorgeous graphics and a deep roster of WWE Superstars and Legends. 2K Showcase returns as an interactive sports documentary focusing on the 20-year career of John Cena and WarGames is finally here!",Intel Core i5-3550,AMD Radeon RX 480,8 GB,80 GB
Marvels Avengers,Action / RPG / Adventure,"Assemble your team of Earth’s Mightiest Heroes, embrace your powers, and live your Super Hero dreams.",Intel Core i3-4160,NVIDIA GeForce GTX 950,8 GB,75 GB
Senua’s Saga: Hellblade II,Action / Adventure,"The sequel to the award winning Hellblade: Senua’s Sacrifice, Senua returns in a brutal journey of survival through the myth and torment of Viking Iceland. Intent on saving those who have fallen victim to the horrors of tyranny, Senua faces a battle of overcoming the darkness within and without.",Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1070  / Arc A580 / Radeon RX 5700,16 GB,70 GB
Starcraft 2,Action / Strategy,"Experience the free to play game that redefined the real-time strategy genre. Terran, Zerg, or Protoss – the galaxy is yours to conquer.",Intel Core 2 Duo U7600,AMD Radeon HD 2600 XT,2 GB,30 GB
Star Wars: The Old Republic,RPG / MMO / Free to Play,"The 2011 game Star Wars: The Old Republic is a popular massively-multiplayer online game that has recently been updated with Onslaught – a free to play option that lets you play as a Jedi, a Sith, a bounty hunter or many others in an age centuries before the classic movies. Make meaningful choices and become the hero of your very own Star Wars saga in an interactive storyline that comes with cinematic dialogue and full voiceover for all in-game characters. Gather your allies to face challenging encounters against enemy bosses in Flashpoints and Operations, or battle against other players in Player vs Player Warzones, Arenas, or Galactic Starfighter missions! Visit Hoth, Tatooine, Alderaan and over twenty other planets that offer thrilling adventures in a galaxy far, far away.",AMD Athlon 64 X2 4000+,NVIDIA GeForce GT 610,2 GB,50 GB
World of Warcraft: Classic,Unknown,"World of Warcraft: Classic is a faithful recreation of the original World of Warcraft. Combat mechanics, original character models, and skill trees all contribute to a truly authentic experience. WoW: Classic is an MMORPG and recreates the game in the state it was in before the release of the first expansion ‘The Burning Crusade’.",Intel Core 2 Duo E6600,AMD Radeon HD 4850 X2,2 GB,5 GB
Need for Speed Hot Pursuit Remastered,Unknown,"Feel the thrill of the chase and the rush of escape behind the wheels of the world’s hottest high-performance cars in Need for Speed Hot Pursuit Remastered– a heart-pumping, socially competitive racing experience.",Intel Core i3-2120,NVIDIA GeForce GTS 450,8 GB,45 GB
Supermarket Simulator,Casual / Indie / Adventure,"This is a game about buying groceries in a supermarket. No really, if you want the most realistic experience of buying groceries in a supermarket, then this is your game. You can even ride a trolley like you used to do as a kid.",Intel Core i5-3550  / Ryzen 5 2500X,NVIDIA GeForce GTX 1050  / Radeon R9 270X,4 GB,5 GB
World of Warships,Action / Strategy / Simulation,"Immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century — from stealthy destroyers to gigantic battleships. Change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!",AMD Athlon II X2 215,AMD Radeon HD 4650,2 GB,35 GB
Mini Royale,Action / Indie / Adventure,"Brace yourself for an action-packed shooter experience in Mini Royale! Battle as green army toy soldiers in a massive kids' bedroom, fighting for survival in modes like Battle Royale, Deathmatch, and more—where only the strongest players or teams claim victory.",Intel Core i5-1300F,NVIDIA GeForce GTX 760,8 GB,20 GB
House Flipper,Indie / Simulation,"House Flipper is a unique chance to become a one-man renovation crew. Buy, repair and remodel devastated houses. Give them a second life and sell them at a profit!",AMD Phenom II X4 955,NVIDIA GeForce GTX 560,4 GB,6 GB
Crime Scene Cleaner,Action / Indie / Simulation,"Once you get tangled with the mob, you will forever be a part of the mob. At least they pay a decent salary and all you have to do is clean up after their dirty work, but you know what you’re doing. So clean crime scenes, earn as much money as you can, and get ready for the next mission.",Intel Core i5-7500,NVIDIA GeForce GTX 1060,16 GB,35 GB
Dredge,RPG / Adventure,"DREDGE is a single-player fishing adventure with a sinister undercurrent. Sell your catch, upgrade your boat, and dredge the depths for long-buried secrets. Explore a mysterious archipelago and discover why some things are best left forgotten.",Intel Core i3-2100,AMD Radeon HD 6570,4 GB,2 GB
Backrooms: Escape Together,Action / Casual / Indie,"A visually lifelike co-op horror for 1-6 people. Journey through 9 procedurally generated levels, using what's available to survive and progress deeper into the Backrooms.",Intel Core i5-4430,NVIDIA GeForce GTX 960,4 GB,15 GB
Black Mesa,Action / Indie / Adventure,Relive Half-Life.,Intel Core 2 Duo Q6867,AMD Radeon HD 5450,6 GB,20 GB
Dishonored Definitive Edition,Action / Adventure / FPS,"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal.",Intel Core 2 Duo Q6867,ATI Radeon HD 5850,3 GB,9 GB
WRC,Racing / Sports / Simulation,"Experience the thrill of the 2024 rally season with new locations, moments, stages, high-performance vehicles, new liveries, and licensed crews. Brace yourself to embark on your continued rally journey.",Intel Core i5-9600K,AMD Radeon RX Vega 56,8 GB,110 GB
SCP: Pandemic,Action / Strategy / Indie,SCP: 5K is a co-op or singleplayer tactical horror FPS project that puts players in the midst of a conspiracy where the SCP Foundation has turned on humanity. Enjoy Early Access as we continue to work towards a completed full release of the project!,Intel Core i5-1300F,AMD Radeon R5 M230,12 GB,30 GB
Suicide Squad: Kill the Justice League,Unknown,"From the creators of Batman: Arkham, Suicide Squad: Kill the Justice League is a genre-defying third-person action shooter where the ultimate band of misfits must do the impossible: Kill the Justice League.",Intel Core i5-8400,NVIDIA GeForce GTX 1070,16 GB,65 GB
The Walking Dead,Unknown,A five-part adventure horror series set in the same universe as Robert Kirkman’s award-winning comic book series.,Intel Pentium 4 2.00GHz,NVIDIA GeForce 7200 GS,3 GB,2 GB
Vampyr,Action / RPG / FPS,"London, 1918. You are newly-turned Vampyr Dr. Jonathan Reid. As a doctor, you must find a cure to save the city’s flu-ravaged citizens. As a Vampyr, you are cursed to feed on those you vowed to heal.",Intel Core i3-2130,AMD Radeon R7 370,8 GB,20 GB
"Warhammer 40,000: Space Marine",Action / FPS / Third-person shooter,"In Warhammer 40,000 Space Marine you are Captain Titus, a Space Marine of the Ultramarines chapter and a seasoned veteran of countless battles.",Intel Core 2 Duo E8400,NVIDIA GeForce 8800 GT,1 GB,20 GB
Bus Simulator 21,Unknown,"Bus Simulator 21 Next Stop offers the most comprehensive bus fleet in the history of the series with 30 officially licensed buses. Drive on two vastly different maps, alone or with friend. Play with extended management elements or just enjoy your time on the road.",Intel Core i3-2120,Unknown,8 GB,18 GB
Welcome to the Game,Indie / Simulation / Sexual Content,"Welcome to the Game is a creepy horror/puzzle game that takes you into the world of the Deep Web. Explore the Deep Web with the sole purpose of trying to find a Red Room, an online service / website that allows you to see and participate in interactive torture and murder.",Intel Pentium 4 4.00GHz,ATI FireGL V7350,2 GB,3 GB
Manual,RPG / Indie,This game centers around a colorfully randomized ball which players must navigate along a winding path.,Intel Core i5-1300F,NVIDIA GeForce 9800 GT,4 GB,Unknown
Game Pass,Unknown,"The game subscription service from Microsoft that lets you play over 100 high-quality PC games on Windows 10, plus giving you access EA Play.",Intel Core i5-8300H,NVIDIA GeForce GTX 1050,8 GB,150 GB
Brawlhalla,Action / Indie / Free to Play,"An epic platform fighter for up to 8 players online or local. Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free! Play cross-platform with millions of players on PlayStation, Xbox, Nintendo Switch, iOS, Android & Steam! Frequent updates. Over sixty Legends.",Intel Core 2 Duo E8400,Intel HD 3000,1 GB,350 MB
Total War: ROME II - Emperor Edition,Strategy / RPG / Adventure,"Emperor Edition is the definitive edition of ROME II, featuring an improved politics system, overhauled building chains, rebalanced battles and improved visuals in both campaign and battleEmperor Edition contains all free feature updates since its release in 2013, which includes bug fixes, balancing, Twitch.",Intel Core 2 Duo T5750,NVIDIA GeForce 7200 GS,2 GB,35 GB
Kenshi,Action / Strategy / RPG,"A free-roaming squad based RPG. Focusing on open-ended sandbox gameplay features rather than a linear story. Be a trader, a thief, a rebel, a warlord, an adventurer, a farmer, a slave, or just food for the cannibals. Train your men up from puny victims to master warriors.",Intel Core 2 Duo U7600,NVIDIA GeForce 510,6 GB,14 GB
HASTE: Broken Worlds,Action / Racing / Indie,"Run fast, soar through the air, and master your landings as you speed through procedural worlds to outrun the end of the universe!",Intel Core i5-2400,Unknown,8 GB,4 GB
Last Epoch,Action / RPG / Indie,"Uncover the Past, Reforge the Future. Ascend into one of 15 mastery classes and explore dangerous dungeons, hunt epic loot, craft legendary weapons, and wield the power of over a hundred transformative skill trees. Last Epoch is being developed by a team of passionate Action RPG enthusiasts.",Intel Core i5-2500  / FX-4350,NVIDIA GeForce GTX 1060  / Radeon RX 580,8 GB,22 GB
TCG Card Shop Simulator,Simulation / Early Access,"Open your own local game store. Stock shelves with the latest booster packs, or crack them and collect the cards for yourself. Set your own prices, hire staff, host events, and expand your card shop.",Intel Core i5-3550,NVIDIA GeForce GTX 1050,8 GB,5 GB
Icarus,Action / Adventure / Simulation,"ICARUS is a PvE survival game for up to eight players. Explore a savage wilderness in the aftermath of terraforming gone wrong. Survive the Open World, complete timed Missions or build your Outpost. Explore, build, craft and hunt while seeking your fortune and prospecting for exotic matter.",Intel Core i5-8400,NVIDIA GeForce GTX 1060,16 GB,70 GB
Fishing Planet,Sports / Simulation / MMO,Fishing Planet® is a free-to-play and highly realistic first-person online multiplayer fishing simulator. Developed by avid fishing enthusiasts to bring you the full thrill of actual angling on your PC.,Intel Core 2 Duo Q6867,Intel HD 4600,4 GB,12 GB
Assetto Corsa Competizione,Racing / Sports / Simulation,"Assetto Corsa Competizione, the official GT World Challenge videogame. Thanks to the extraordinary quality of simulation, you will experience the atmosphere of the GT3 championship. Compete against official drivers, teams, cars and official circuits reproduced to the highest quality ever seen.",Intel Core i5-4460,AMD Radeon RX 460,4 GB,50 GB
Frostpunk,Strategy / Simulation,"Frostpunk is the first society survival game. As the ruler of the last city on Earth, it is your duty to manage both its citizens and infrastructure. What decisions will you make to ensure your society's survival? What will you do when pushed to breaking point? Who will you become in the process?",Intel Core 2 Duo E8700,AMD Radeon R7 370,4 GB,8 GB
