Game,Category,Description,CPU,GPU,RAM,File Size
FIFA 23,Sports / Simulation,"FIFA 23 brings The World’s Game to the pitch, with HyperMotion2 Technology, men’s and women’s FIFA World Cup™, women’s club teams, cross-play features**, and more.",Intel Core i5-6600K,NVIDIA GeForce GTX 1050 Ti,8 GB,100 GB
Atomfall,Action / Adventure,"A nuclear disaster has left an area of Britain in tatters. Atomfall, a new survival-action game, will see you explore, scavenge, craft, barter and fight your way through beautifully recreated scenery in search of answers.",Intel Core i5-9400F,NVIDIA GeForce RTX 2060,16 GB,60 GB
Red Dead Redemption,Unknown,"Journey across the sprawling expanses of the American West and Mexico in Red Dead Redemption, and its zombie-horror companion, Undead Nightmare. Now playable on PC.",AMD FX-6300,AMD Radeon R9 280,8 GB,20 GB
Wuthering Waves,Action / RPG / Adventure,"Wuthering Waves is a story-rich open-world action RPG with a high degree of freedom. You wake from your slumber as Rover, joined by a vibrant cast of Resonators on a journey to reclaim your lost memories and change the world.",Intel Core i5-9400  / Ryzen 7 2700U,NVIDIA GeForce GTX 1060  / Radeon RX 570,16 GB,30 GB
Call of Duty: Black Ops 6,Unknown,"Call of Duty®: Black Ops 6 is signature Black Ops across a cinematic single-player Campaign, a best-in-class Multiplayer experience and with the epic return of Round-Based Zombies.",Intel Core i3-8100,NVIDIA GeForce GTX 1660 Ti,12 GB,128 GB
Sons of the Forest,Action / Violent,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.",Intel Core i5-8400  / Ryzen 5 3600X,NVIDIA GeForce GTX 1060  / Radeon RX 5700 XT,12 GB,20 GB
Final Fantasy 16,Action / RPG,"An epic dark fantasy where fates are decided by mighty Eikons and the Dominants who wield them. This is the tale of Clive Rosfield, a tragic warrior who swears revenge on the Dark Eikon Ifrit, a mysterious entity that leaves naught but calamity in its wake.",Intel Core i5-8400  / Ryzen 5 1600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,170 GB
Battlefield 1,Action / Violent,"Battlefield 1 takes you back to The Great War, WW1, where new technology and worldwide conflict changed the face of warfare forever. Take part in every battle, control every massive vehicle, and execute every maneuver that turns an entire fight around. The whole world is at war – see what’s beyond the trenches.",Intel Core i5-6600K,NVIDIA GeForce GTX 660,8 GB,50 GB
Adobe Photoshop,Design & Illustration / Photo Editing / Utilities,"The world's best imaging and graphic design software is at the core of just about every creative project, from photo editing and compositing to digital painting, animation and graphic design.",Intel Core i7-920,NVIDIA GeForce GTX 950,8 GB,4 GB
ARK: Survival Ascended,Action / RPG / Indie,"ARK is reimagined from the ground-up into the next-generation of video game technology with Unreal Engine 5! Form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. Your new world awaits!",Intel Core i7-6800K  / Ryzen 5 2600X,NVIDIA GeForce GTX 1080  / Radeon RX 5600 XT,16 GB,70 GB
